GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
,com.example.training.service,LoanApplicationService,0,607,2,28,0,120,2,28,0,15
,com.example.training.service,RepaymentScheduleService,0,360,0,10,0,65,0,12,0,7
,com.example.training.service,AuthService,0,84,1,13,0,17,1,10,0,4
,com.example.training.service,CustomerService,0,215,0,6,0,52,0,11,0,8
,com.example.training.service,PaymentTransactionService,0,248,0,4,0,51,0,7,0,5
,com.example.training.web,RequestIdFilter,8,43,6,2,0,15,4,2,0,2
,com.example.training.enums,PaymentStatus,0,9,0,0,0,2,0,1,0,1
,com.example.training.enums,RepaymentStatus,0,15,0,0,0,3,0,1,0,1
,com.example.training.enums,LoanStatus,3,69,2,14,1,11,2,10,0,3
,com.example.training,TrainingApplication,5,3,0,0,2,1,1,1,1,1
,com.example.training.controller,LoanApplicationController,0,41,0,4,0,7,0,7,0,5
,com.example.training.controller,RepaymentScheduleController,0,12,0,0,0,2,0,2,0,2
,com.example.training.controller,CustomerController,0,28,0,0,0,4,0,4,0,4
,com.example.training.controller,PaymentTransactionController,0,12,0,0,0,3,0,2,0,2
,com.example.training.dto,ApiResponse,15,28,2,2,6,13,2,3,1,2
,com.example.training.entity,PaymentTransactionEntity,13,0,0,0,6,0,2,0,2,0
,com.example.training.entity,LoanApplicationEntity,11,0,0,0,5,0,2,0,2,0
,com.example.training.entity,CustomerEntity,11,0,0,0,5,0,2,0,2,0
,com.example.training.entity,RepaymentScheduleEntity,13,0,0,0,6,0,2,0,2,0
,com.example.training.exception,GlobalExceptionHandler,58,100,0,0,12,24,3,7,3,7
,com.example.training.exception,ForbiddenException,0,10,0,0,0,4,0,2,0,2
,com.example.training.exception,DuplicateCustomerException,0,10,0,0,0,4,0,2,0,2
,com.example.training.exception,NotFoundException,7,10,0,0,3,4,1,2,1,2
